original_countryname,original_AddressAlph,original_address_id,original_group,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_street_level,confidence_city_level,attribution,attribution_license,attribution_url
United Kingdom,"2 Queen's Garden,Aberdeen,AB15 4YD,Scotland",494,2,57.14322,-2.1277319400383727,"Skene Business Centres, 2 Queen's Gardens, Aberdeen City, AB15 4YD, United Kingdom",Skene Business Centres,2,Queen's Gardens,AB15 4YD,,West End,Aberdeen City,,,Scotland,SCT,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Redwood Ave.,East Kilbride,Scotland G74 5PF",495,2,55.7684915,-4.226507,"CUK Audio, 2 Redwood Crescent, East Kilbride, G74 5PA, United Kingdom",CUK Audio,2,Redwood Crescent,G74 5PA,,Peel Park,East Kilbride,South Lanarkshire,SLK,Scotland,SCT,United Kingdom,gb,0.567,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Redwood Ave.,East Kilbridge,Scotland G74 5PF",496,2,55.7684915,-4.226507,"CUK Audio, 2 Redwood Crescent, East Kilbride, G74 5PA, United Kingdom",CUK Audio,2,Redwood Crescent,G74 5PA,,Peel Park,East Kilbride,South Lanarkshire,SLK,Scotland,SCT,United Kingdom,gb,0.5103000000000001,0.81,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Redwood Ave.,Peel Park Compus,East Kilbride,Scotland G74 5PF",497,2,55.7684915,-4.226507,"CUK Audio, 2 Redwood Crescent, East Kilbride, G74 5PA, United Kingdom",CUK Audio,2,Redwood Crescent,G74 5PA,,Peel Park,East Kilbride,South Lanarkshire,SLK,Scotland,SCT,United Kingdom,gb,0.567,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Royal Exchange,London EC3V 3DG",498,2,51.51348,-0.0877,"City of London, EC3V 3DG, United Kingdom",,,,EC3V 3DG,,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Ventura Centre Upton Industrial Estate Poole,Dorset,BH16 5SW",499,2,51.037081,-2.273362,"2 The Centre, Gillingham, SP8 4AB, United Kingdom",,2,The Centre,SP8 4AB,Gillingham Civil Parish,Lodbourne,Gillingham,Dorset,DOR,England,ENG,United Kingdom,gb,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Ventura Centre Upton Industrial Estate Poole,Dorset,BH165SW",500,2,51.037081,-2.273362,"2 The Centre, Gillingham, SP8 4AB, United Kingdom",,2,The Centre,SP8 4AB,Gillingham Civil Parish,Lodbourne,Gillingham,Dorset,DOR,England,ENG,United Kingdom,gb,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2-3 Woodstock St.,London W1",501,2,51.51409245,-0.14711243208468966,"2-3 Woodstock Street, London, W1S 1LE, United Kingdom",,2-3,Woodstock Street,W1S 1LE,,Mayfair,London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2-3 Woodstock St.,London W1G 0PL",502,2,51.5164,-0.14601,"London, W1G 0PL, United Kingdom",,,,W1G 0PL,,,London,Greater London,,England,ENG,United Kingdom,gb,0.6,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2-3 Woodstock St.,London,W1G 0PL",503,2,51.5164,-0.14601,"London, W1G 0PL, United Kingdom",,,,W1G 0PL,,,London,Greater London,,England,ENG,United Kingdom,gb,0.6,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2-4,Bucknall St.London,WC2H 8LA",504,2,51.5163115,-0.1277466,"Bucknall Street, London, WC2H 8AB, United Kingdom",Bucknall Street,,Bucknall Street,WC2H 8AB,London Borough of Camden,Bloomsbury,London,Greater London,,England,ENG,United Kingdom,gb,0.4496896551724139,0.5670000000000001,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2-6 Church St.Helier,Jersey,Channel Islands",505,2,53.382599,-1.4701,"2-6 Church Street, Sheffield, S1 2GN, United Kingdom",,2-6,Church Street,S1 2GN,,Highfield,Sheffield,Rotherham,ROT,England,ENG,United Kingdom,gb,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2-8 Honduras St.,London EC1Y 0TX",506,2,51.523901,-0.095947,"Honduras Street, London, EC1Y 0TX, United Kingdom",,,Honduras Street,EC1Y 0TX,Islington,St Luke's,London,London,,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2-8 Honduras St.,London,EC1Y 0TX",507,2,51.523901,-0.095947,"Honduras Street, London, EC1Y 0TX, United Kingdom",,,Honduras Street,EC1Y 0TX,Islington,St Luke's,London,London,,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,2-8 Honduras St.London EC1Y 0TX,508,2,51.5236671,-0.095783,"Honduras Street, London, EC1V 9AJ, United Kingdom",Honduras Street,,Honduras Street,EC1V 9AJ,London Borough of Islington,Finsbury,London,Greater London,,England,ENG,United Kingdom,gb,0.02835,0.189,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,2-8 Honduras St.London EC1Y 9TX,509,2,51.523901,-0.095947,"Honduras Street, London, United Kingdom",,,Honduras Street,,Islington,St Luke's,London,London,,England,ENG,United Kingdom,gb,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,2-8 Honduras St.London EC1Y OTX,510,2,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,"2,Byacknell Beeches,Old Bracknell Lane,Bracknell,Berkshire RG12 7BW",511,2,51.412753,-0.7527616,"Bracknell, RG12 7BW, United Kingdom",,,,RG12 7BW,,,Bracknell,Bracknell Forest,BRC,England,ENG,United Kingdom,gb,0.6,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2,Longwalk Rd.,Stockley Park,Uxbridge,Middlesex,UB11 1AB",512,2,51.5103862,-0.4477760285031136,"Suntory, 2 Longwalk Road, London, UB11 1BA, United Kingdom",Suntory,2,Longwalk Road,UB11 1BA,London Borough of Hillingdon,West Drayton,London,Greater London,,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"20 Alan Turing Rd.Surrey Research Park,Guildford,Surrey GU2 5YF",513,2,51.2410939,-0.6139048,"Alan Turing Road, Guildford, GU2 7AQ, United Kingdom",Alan Turing Road,,Alan Turing Road,GU2 7AQ,,Park Barn,Guildford,Surrey,SRY,England,ENG,United Kingdom,gb,0.252,0.4,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"20 Alan Turing Rd.Surrey Reserch Park,Guildford,Surrey GU2 5YF",514,2,51.240206,-0.55479,"Guildford, GU2 5YF, United Kingdom",,,,GU2 5YF,,,Guildford,Surrey,SRY,England,ENG,United Kingdom,gb,0.25,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"20 Balderton St.,2nd Fl.,South,London W1K 6TL",515,2,51.51319035,-0.15238784216334764,"16 Balderton Street, London, W1K 6TH, United Kingdom",,16,Balderton Street,W1K 6TH,,Mayfair,London,Greater London,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"20 Cursitor St.,London,EC4A 1LT",516,2,51.51641145,-0.11052787751322746,"MacFarlanes LLP, 20 Cursitor Street, City of London, EC4A 1LL, United Kingdom",MacFarlanes LLP,20,Cursitor Street,EC4A 1LL,City of London,Blackfriars,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"20 Fenchurch St.,London EC3M 3BY",517,2,51.5115724,-0.0838073,"Untitled x3, 20 Fenchurch Street, City of London, EC3M 3BY, United Kingdom",Untitled x3,20,Fenchurch Street,EC3M 3BY,,Cornhill,City of London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
