original_countryname,original_AddressAlph,original_address_id,original_group,lat,lon,formatted,name,housenumber,street,suburb,postcode,district,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
United Kingdom,"Aberaman Park Ind.Estate,Aberdare,Mid Glamorgan,CF44 6DA",1503,4,51.716259,-3.446302,"Aberdare Community (Aberdare), CF44 6DA, United Kingdom",,,,,CF44 6DA,Aberdare Community,Aberdare,Rhondda Cynon Taf,RCT,Wales,WLS,United Kingdom,gb,0.25,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"Abercarn,Gwent Wales",1504,4,51.6507238,-3.1344992,"Abercarn (Abercarn), NP11 4SW, United Kingdom",Abercarn,,,,NP11 4SW,,Abercarn,Caerphilly County Borough,,Wales,WLS,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Abercynon,Mountain Ash,Mid Glamorgan,CF45 4XA",1505,4,51.6448956,-3.3283645,"Abercynon, CF45 4RE, United Kingdom",Abercynon,,,,CF45 4RE,,Abercynon,Rhondda Cynon Taf,RCT,Wales,WLS,United Kingdom,gb,0.24499999999999997,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Abercynon,Mountain Ash,Mid,Glamorgan CF45 4XA",1506,4,51.6448956,-3.3283645,"Abercynon, CF45 4RE, United Kingdom",Abercynon,,,,CF45 4RE,,Abercynon,Rhondda Cynon Taf,RCT,Wales,WLS,United Kingdom,gb,0.24499999999999997,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Abercynon,Mountain Ash,Mid,Glamorgan,CF45 4XA",1507,4,51.6448956,-3.3283645,"Abercynon, CF45 4RE, United Kingdom",Abercynon,,,,CF45 4RE,,Abercynon,Rhondda Cynon Taf,RCT,Wales,WLS,United Kingdom,gb,0.24499999999999997,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,Aberdeen,1508,4,57.1482429,-2.0928095,"Aberdeen City, SCT, United Kingdom",,,,,,,Aberdeen City,,,Scotland,SCT,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,Abingdon,1509,4,51.6714842,-1.2779715,"Abingdon (Vale of White Horse), OX14 3UJ, United Kingdom",Abingdon,,,,OX14 3UJ,,Vale of White Horse,Oxfordshire,OXF,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Abingdon Science Park,Abingdon,Oxford,OX14 3YS",1510,4,51.6720751,-1.2601999,"Autism Oxford UK, Barton Lane, Vale of White Horse, OX14 3YS, United Kingdom",Autism Oxford UK,,Barton Lane,Abingdon on Thames,OX14 3YS,,Vale of White Horse,Oxfordshire,OXF,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Abington Science Park,Abington,Oxford,OX14 3YS",1511,4,51.42436,-2.220716,"Corsham Science Park, Box, SN13 9FU, United Kingdom",,,Corsham Science Park,Corsham,SN13 9FU,Minchinhampton,Box,Gloucestershire,GLS,England,ENG,United Kingdom,gb,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Academy House,161-167 Oxford St.,London W1R 1TA",1512,4,51.5154759,-0.1377934,"161-167 Oxford Street, London, W1D 2JH, United Kingdom",,161-167,Oxford Street,Fitzrovia,W1D 2JH,Westminster,City of Westminster,Greater London,,England,ENG,United Kingdom,gb,0.2187,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Academy House,161-167 Oxford St.,London W1R ITA",1513,4,53.056686,-0.768524,"161,163,165,167 Main Street, Balderton, NG24 3PB, United Kingdom",,"161,163,165,167",Main Street,Balderton,NG24 3PB,Balderton,Balderton,Nottinghamshire,NTT,England,ENG,United Kingdom,gb,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Acal House,Redfields Ind.Park Church Crookham,Hampshire,GU52 0RD",1514,4,51.2628663,-0.838533923621331,"Church Crookham, Hart, ENG, United Kingdom",,,,Church Crookham,,,Hart,Hampshire,HAM,England,ENG,United Kingdom,gb,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Acal House,Redfields Park Church Crookham,Hampshire GU13 0RD",1515,4,51.2628663,-0.838533923621331,"Church Crookham, Hart, ENG, United Kingdom",,,,Church Crookham,,,Hart,Hampshire,HAM,England,ENG,United Kingdom,gb,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Acre Rd.,Reading,Berks.,RG2 0SU",1516,4,51.4239199,-0.9791801,"Acre Road, Reading, RG2 0RJ, United Kingdom",Acre Road,,Acre Road,Whitley Wood,RG2 0RJ,,Reading,,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Aero House Stone Close,West Drayton,Middlesex UB7 8JU",1517,4,51.5118441,-0.4608809,"Stone Close, London, UB7 8JD, United Kingdom",Stone Close,,Stone Close,West Drayton,UB7 8JD,London Borough of Hillingdon,London,Greater London,,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Aero House,Stone Close,West Drayton,Middlesex UB7 8JU",1518,4,51.5118441,-0.4608809,"Stone Close, London, UB7 8JD, United Kingdom",Stone Close,,Stone Close,West Drayton,UB7 8JD,London Borough of Hillingdon,London,Greater London,,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Aero House,Stone Close,West Drayton,Middlesex,UB7 8JU",1519,4,51.5118441,-0.4608809,"Stone Close, London, UB7 8JD, United Kingdom",Stone Close,,Stone Close,West Drayton,UB7 8JD,London Borough of Hillingdon,London,Greater London,,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Agincourt Rd.,Warwick,CV34 6XZ",1520,4,52.2643061,-1.6072548,"Agincourt Road, Warwick, CV34 6NH, United Kingdom",Agincourt Road,,Agincourt Road,Warwick,CV34 6NH,,Warwick,Warwickshire,WAR,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Alban Gate,125 London Wall,London EC2Y 5AH",1521,4,51.5174951,-0.0937283,"Alban Gate, 125 London Wall, City of London, EC2Y 5AS, United Kingdom",Alban Gate,125,London Wall,Barbican,EC2Y 5AS,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Albangate 125,London Wall,London EC2Y 5AS",1522,4,51.5174681,-0.09380595,"City of London, EC2Y 5AS, United Kingdom",,,,,EC2Y 5AS,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Albany house 71-79 Station Rd.,West Drayton,Middlesex",1523,4,51.5058624,-0.469922,"Station Road, London, UB7 7LT, United Kingdom",Station Road,,Station Road,West Drayton,UB7 7LT,London Borough of Hillingdon,London,Greater London,,England,ENG,United Kingdom,gb,0,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Albemarle House,1 Albemarle St.,London W1X 3HF",1524,4,51.508064,-0.140568,"1 Albemarle Street, London, W1S 4JH, United Kingdom",,1,Albemarle Street,Mayfair,W1S 4JH,Westminster,London,London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Aldermary House,10-15 Queen St.London,EC4N 1TX",1525,4,51.5127409,-0.09323575874874171,"St Mary Aldermary, Watling Street, City of London, EC4M 9BW, United Kingdom",St Mary Aldermary,,Watling Street,Vintry,EC4M 9BW,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.0518801652892562,0.5,0.09090909090909091,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Aldermary House,15 Queen St.,London EC4N 1UA",1526,4,51.512921899999995,-0.0927487774233315,"Core, 15 Queen Street, City of London, EC4N 1TX, United Kingdom",Core,15,Queen Street,Vintry,EC4N 1TX,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Aldermary House,15 Queen St.,London,EC4N 1UA",1527,4,51.512921899999995,-0.0927487774233315,"Core, 15 Queen Street, City of London, EC4N 1TX, United Kingdom",Core,15,Queen Street,Vintry,EC4N 1TX,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Aldwych House,81 Aldwych.London",1528,4,51.51274545,-0.11717261325662154,"30 Aldwych, London, WC2B 4BG, United Kingdom",,30,Aldwych,Holborn,WC2B 4BG,St Clement Danes,London,Greater London,,England,ENG,United Kingdom,gb,0.225,0.5,0.45,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Alfa Tower,Great West Rd.,Brenford Middlesex TW8 9BT",1529,4,51.4881078,-0.3134981,"Great West Road, London, TW8 9EY, United Kingdom",Great West Road,,Great West Road,,TW8 9EY,London Borough of Hounslow,London,Greater London,,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Almack House,28 King St.,London SW1Y 6AR",1530,4,51.5149446,-0.0923991,"28 King Street, City of London, EC2V 8EG, United Kingdom",,28,King Street,Cheap,EC2V 8EG,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.7290000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Almack House,28 King St.,London,SW1Y 6AR",1531,4,51.5149446,-0.0923991,"28 King Street, City of London, EC2V 8EG, United Kingdom",,28,King Street,Cheap,EC2V 8EG,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.7290000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Alperton House,Bridgewater Rd.,Wembley,Middlesex,HA0 1EG",1532,4,51.5399998,-0.3007634,"Bridgewater Road, London, HA0 4GP, United Kingdom",Bridgewater Road,,Bridgewater Road,Alperton,HA0 4GP,London Borough of Brent,London,Greater London,,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Alpha House,Countesthorpe Rd.,South Wigston,Leicester LE184PJ",1533,4,52.57634,-1.1347799,"Oadby and Wigston, LE18 4PJ, United Kingdom",,,,,LE18 4PJ,,Oadby and Wigston,Leicestershire,LEC,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Alpine House Earlplace Business Park Fletchamstead Highway,Coventry CV4 9TW",1534,4,52.3926917,-1.5510994,"Fletchamstead Highway, Coventry, CV4 8GJ, United Kingdom",Fletchamstead Highway,,Fletchamstead Highway,Canley Gardens,CV4 8GJ,,Coventry,West Midlands Combined Authority,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Alpine House,Earlplace Business Park,Fletchamstead Highway,Coventry CV4 9TW",1535,4,52.3926917,-1.5510994,"Fletchamstead Highway, Coventry, CV4 8GJ, United Kingdom",Fletchamstead Highway,,Fletchamstead Highway,Canley Gardens,CV4 8GJ,,Coventry,West Midlands Combined Authority,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Alta Tower,Great West Rd.,Brenford Middlesex TW8 9BT",1536,4,51.4881078,-0.3134981,"Great West Road, London, TW8 9EY, United Kingdom",Great West Road,,Great West Road,,TW8 9EY,London Borough of Hounslow,London,Greater London,,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Alton House,174/177 High Holborn London,WC1V 7AA",1537,4,51.5158705,-0.1258352,"High Holborn, London, WC1V 7AA, United Kingdom",High Holborn,,High Holborn,Bloomsbury,WC1V 7AA,London Borough of Camden,London,Greater London,,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Amalgamated Drive,West Cross Centre Brentford,Middlesex,TW8 9EZ",1538,4,51.4859629,-0.3226478,"Amalgamated Drive, London, TW8 9GH, United Kingdom",Amalgamated Drive,,Amalgamated Drive,Spring Grove,TW8 9GH,London Borough of Hounslow,London,Greater London,,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Ampney House Falcon Close,Quedgeley,Gloucestershire,GL2 4LS",1539,4,51.8329397,-2.2768376,"Falcon Close, Gloucester, GL2 4LS, United Kingdom",Falcon Close,,Falcon Close,Quedgeley,GL2 4LS,,Gloucester,Gloucestershire,GLS,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"ANA House 6-8 Old Bond St.,London W1X 3TA",1540,4,51.5085162,-0.1402693,"Dolce & Gabbana, 6-8 Old Bond Street, London, W1S 4PP, United Kingdom",Dolce & Gabbana,6-8,Old Bond Street,Mayfair,W1S 4PP,St. James's,London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Andover,Hampshire",1541,4,51.2078275,-1.479355,"Andover (Test Valley), ENG, United Kingdom",,,,,,,Test Valley,Hampshire,HAM,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Apley,Telford,Shropshire TF6 6DA",1542,4,52.699083,-2.560704,"Wrockwardine (Wrockwardine), TF6 5DN, United Kingdom",TF6 5DN,,,,TF6 5DN,Wrockwardine,Wrockwardine,Telford and Wrekin,TFW,,,United Kingdom,gb,0.48999999999999994,0.7,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"Appleton House 139 King St.,London W6 9JG",1543,4,51.4935245,-0.2424898,"King Street, London, W6 0RR, United Kingdom",King Street,,King Street,,W6 0RR,London Borough of Hammersmith and Fulham,London,Greater London,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Appolo 8,Olympus Park,Quedgeley Gloucester,GL2 4NF",1544,4,52.009185,-2.120455,"Ashchurch Rural (Northway), GL20 8TH, United Kingdom",GL20 8TH,,,,GL20 8TH,Ashchurch Rural,Northway,,,,,United Kingdom,gb,0.0625,0.5,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"Aquatite House,Mabgate,Leeds LS9 7DR",1545,4,53.7901137,-1.5579144769537625,"Aquatite House, Water Lane, Leeds, LS11 5WE, United Kingdom",Aquatite House,,Water Lane,Holbeck Urban Village,LS11 5WE,,Leeds,West Yorkshire,,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Aquatite House,Mabgate,Leeds LS9 7DR,West Yorkshire",1546,4,53.7901137,-1.5579144769537625,"Aquatite House, Water Lane, Leeds, LS11 5WE, United Kingdom",Aquatite House,,Water Lane,Holbeck Urban Village,LS11 5WE,,Leeds,West Yorkshire,,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Arena Business Park,Acre Rd.,Reading,Berkshire,RG20SU",1547,4,51.4239199,-0.9791801,"Acre Road, Reading, RG2 0RJ, United Kingdom",Acre Road,,Acre Road,Whitley Wood,RG2 0RJ,,Reading,,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Arena Business Park,Reading,Berks.,RG2 0SU",1548,4,51.36452,-0.963487,"Riseley Business Park, Swallowfield, RG2 0SU, United Kingdom",,,Riseley Business Park,,RG2 0SU,Shinfield,Swallowfield,West Berkshire,WBK,England,ENG,United Kingdom,gb,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Armytage Rd.,Brighouse West Yorkshire,HD6 1QF",1549,4,53.69692889375,-1.7632617625,"Calderdale, HD6 1QF, United Kingdom",,,,,HD6 1QF,,Calderdale,West Yorkshire,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Arrowhead Rd.,Theale,Reading RG7 4AH",1550,4,51.4564242,-0.9700664,"yes, Reading, ENG, United Kingdom",,,,,,yes,Reading,,,England,ENG,United Kingdom,gb,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Arrowhead Rd.,Theale,Reading,Berkshire,RG7 4AH",1551,4,51.432351,-1.0699095,"Arrowhead Road, Theale, RG7 4AH, United Kingdom",Arrowhead Road,,Arrowhead Road,,RG7 4AH,,Theale,West Berkshire,WBK,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Artline Point,Ashville Way,Sutton Weaver,Runcorn,Cheshire,WA7 3EZ",1552,4,53.3083422,-2.7031118,"Ashville Way, Runcorn, WA7 3EZ, United Kingdom",Ashville Way,,Ashville Way,Beechwood,WA7 3EZ,,Runcorn,Halton,HAL,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Asahi House,North Farm Rd.,Tunbridge Wells,Kent,TN2 3DR",1553,4,51.1486255,0.2765653,"North Farm Road, Tunbridge Wells, TN2 3XH, United Kingdom",North Farm Road,,North Farm Road,High Brooms,TN2 3XH,,Tunbridge Wells,Kent,KEN,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,ASHVILLE HOUSE 131-139 The Broadway Wimbledon London SW19,1554,4,51.4189576,-0.19974374072748902,"131-139 The Broadway, London, SW19 1RH, United Kingdom",,131-139,The Broadway,South Wimbledon,SW19 1RH,London Borough of Merton,London,Greater London,,England,ENG,United Kingdom,gb,0.5670000000000001,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Ashville House,131-139 The Broadway,Wimbledon,London,SW19 1QJ",1555,4,51.4189576,-0.19974374072748902,"131-139 The Broadway, London, SW19 1RH, United Kingdom",,131-139,The Broadway,South Wimbledon,SW19 1RH,London Borough of Merton,London,Greater London,,England,ENG,United Kingdom,gb,0.5670000000000001,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Asmec Centre,Eagle House The Ring,Bracknell,Berkshire,RG12 1HB",1556,4,51.4141455,-0.7491368,"The Ring, Bracknell, RG12 1XW, United Kingdom",The Ring,,The Ring,,RG12 1XW,,Bracknell,Bracknell Forest,BRC,England,ENG,United Kingdom,gb,0.44099999999999995,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Asmec Centre,Eagle House,The Ring Bracknell,Berkshire,RG12 1HB",1557,4,51.4141455,-0.7491368,"The Ring, Bracknell, RG12 1XW, United Kingdom",The Ring,,The Ring,,RG12 1XW,,Bracknell,Bracknell Forest,BRC,England,ENG,United Kingdom,gb,0.44099999999999995,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Aspinall Way,Middlebrook Business Park,Horwich,Bolton BL6 6JH",1558,4,53.583735,-2.437376,"Bolton, ENG, United Kingdom",,,,,,,Bolton,Salford,SLF,England,ENG,United Kingdom,gb,0.25,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"Aspinall Way,Middlebrook Business Park,Horwich,Bolton Lancashire BL6 6JH",1559,4,53.583735,-2.437376,"Bolton, ENG, United Kingdom",,,,,,,Bolton,Salford,SLF,England,ENG,United Kingdom,gb,0.25,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"Aspinall Way,Middlebrook Business Park,Horwich,Bolton Lancashire,BL6 6JH",1560,4,53.583735,-2.437376,"Bolton, ENG, United Kingdom",,,,,,,Bolton,Salford,SLF,England,ENG,United Kingdom,gb,0.25,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"Aspinall Way,Middlebrook Business Park,Horwich,Bolton,BL6 6JH",1561,4,53.583735,-2.437376,"Bolton, ENG, United Kingdom",,,,,,,Bolton,Salford,SLF,England,ENG,United Kingdom,gb,0.25,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"Aston Science Park Love Lane,Birmingham,B7 4BJ",1562,4,52.489300650000004,-1.8867351415679798,"Visitor Car Park and Deliveries, Love Lane, Birmingham, B7 4AS, United Kingdom",Visitor Car Park and Deliveries,,Love Lane,,B7 4AS,,Birmingham,West Midlands Combined Authority,,England,ENG,United Kingdom,gb,0.315,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Athena 1-3,Olympus Business Park,Quedgeley,Gloucester,GL2 4NF",1563,4,52.381242,-1.461385,"Units 1-3 Pilot Business Park, Coventry, CV3 4RR, United Kingdom",,Units 1-3,Pilot Business Park,,CV3 4RR,,Coventry,Birmingham,BIR,England,ENG,United Kingdom,gb,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Athene Odyssey Business Park,West End Rd.,South Ruislip,Middlesex,HA4 6QE",1564,4,51.5555362,-0.4054936,"West End Road, London, HA4 6QQ, United Kingdom",West End Road,,West End Road,,HA4 6QQ,London Borough of Hillingdon,London,Greater London,,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Atlantic House,Imperial Way,Reading,RG2 0TD",1565,4,51.418498,-0.9753732,"Imperial Way, Reading, RG2 0TD, United Kingdom",Imperial Way,,Imperial Way,Whitley Wood,RG2 0TD,,Reading,,,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Atlas House 1 King St.,London EC2V 8AU",1566,4,51.5138761,-0.0921743,"1-7 King Street, City of London, EC2V 8AU, United Kingdom",,1-7,King Street,Cheap,EC2V 8AU,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.81,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Atlas House 5th Fl.,1 King St.,London,EC2V 8AU",1567,4,51.5138761,-0.0921743,"1-7 King Street, City of London, EC2V 8AU, United Kingdom",,1-7,King Street,Cheap,EC2V 8AU,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.81,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Atlas House,4th Fl.,1 King St.,London EC2V 8AU",1568,4,51.5138761,-0.0921743,"1-7 King Street, City of London, EC2V 8AU, United Kingdom",,1-7,King Street,Cheap,EC2V 8AU,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.81,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Atlas House(4th Fl.),1 King St.,London,EC2V 8AU",1569,4,51.5138761,-0.0921743,"1-7 King Street, City of London, EC2V 8AU, United Kingdom",,1-7,King Street,Cheap,EC2V 8AU,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.81,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Atlas House(4th Fl),1 King St.,London,EC2V 8AU",1570,4,51.5138761,-0.0921743,"1-7 King Street, City of London, EC2V 8AU, United Kingdom",,1-7,King Street,Cheap,EC2V 8AU,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.81,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Atrium Court,The Ring Bracknell,Berkshire,RG12 1BW",1571,4,51.4141455,-0.7491368,"The Ring, Bracknell, RG12 1XW, United Kingdom",The Ring,,The Ring,,RG12 1XW,,Bracknell,Bracknell Forest,BRC,England,ENG,United Kingdom,gb,0.44099999999999995,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,Audrey House Ely Place London EC1N 6SN,1572,4,51.518189,-0.1070606,"Ely Place, London, EC1N 6SA, United Kingdom",Ely Place,,Ely Place,Holborn,EC1N 6SA,London Borough of Camden,London,Greater London,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Audrey House,Ely Place,London EC1N 6SN",1573,4,51.518189,-0.1070606,"Ely Place, London, EC1N 6SA, United Kingdom",Ely Place,,Ely Place,Holborn,EC1N 6SA,London Borough of Camden,London,Greater London,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Audrey House,Ely Place,London,EC1N 6SN",1574,4,51.518189,-0.1070606,"Ely Place, London, EC1N 6SA, United Kingdom",Ely Place,,Ely Place,Holborn,EC1N 6SA,London Borough of Camden,London,Greater London,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Austin Friars House 2-6,Austin Friars,London EC2N 2TE",1575,4,51.5155499,-0.0850609,"Austin Friars Square, City of London, EC2N 2HA, United Kingdom",Austin Friars Square,,Austin Friars Square,Cornhill,EC2N 2HA,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Austin Friars House,2-5 Austin Friars,London EC2N 2HE",1576,4,51.5158191,-0.0858459,"City of London, EC2N 2HE, United Kingdom",,,,,EC2N 2HE,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Austin Friars House,2-6 Austin Friars,London EC2N 2HE",1577,4,51.5158191,-0.0858459,"City of London, EC2N 2HE, United Kingdom",,,,,EC2N 2HE,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
